dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
dblp,1,legacy_beam,rounds,317080,106786,317080,4925222,878558,878558,878558,878558,868025,14605,7003,7003,2020886,2020883,17629127,14006,80.518402,185.578478,625.204785,376.167969,0.663072,0.939389
dblp,2,legacy_beam,rounds,310077,104441,310077,4261337,837669,837669,837669,837669,777613,186201,53949,53949,2019014,1984540,17057824,109383,83.660116,140.154766,581.452329,369.551933,4.999397,6.638509
dblp,3,legacy_beam,rounds,256128,99226,256128,1595198,545386,545386,545386,545386,267400,86339,41869,41869,1989209,1480960,10528579,107849,73.628324,99.447869,414.568252,322.308051,3.340219,5.742042
dblp,4,legacy_beam,rounds,214259,93745,214259,988554,382987,382987,382987,382987,102250,30209,15779,15779,1913432,1214178,7780066,40724,66.061253,78.608884,317.664083,267.285310,1.371170,2.271169
dblp,5,legacy_beam,rounds,198480,89258,198480,751081,320676,320676,320676,320676,55148,18687,10752,10752,1896252,1129654,6651974,28835,71.464135,65.804389,276.448995,230.451961,0.901765,1.542142
dblp,6,legacy_beam,rounds,187728,86198,187728,692224,279165,279165,279165,279165,32146,11239,7191,7191,1885217,1077313,6123156,20888,61.093021,71.949275,269.880945,260.532057,0.663061,1.123633
dblp,7,legacy_beam,rounds,180537,83661,180537,663077,258530,258530,258530,258530,20818,7895,5263,5263,1876216,1042352,5799375,16066,60.565246,62.810065,254.102681,237.081625,0.494558,0.827607
dblp,8,legacy_beam,rounds,175274,81805,175274,641292,242919,242919,242919,242919,14716,5865,4032,4032,1869133,1017905,5611969,13008,54.132451,62.434691,244.925666,223.136112,0.393343,0.666477
dblp,9,legacy_beam,rounds,171242,80313,171242,590775,228942,228942,228942,228942,10163,4163,3004,3004,1868960,999649,5274969,10231,58.007623,58.222852,234.718622,199.326320,0.299776,0.511252
dblp,10,legacy_beam,rounds,168238,79139,168238,578895,219538,219538,219538,219538,7585,3190,2451,2451,1867773,985779,5142947,8770,58.321779,56.367411,232.816682,199.121210,0.255325,0.439952
dblp,11,legacy_beam,rounds,165787,78563,165787,556003,208953,208953,208953,208953,5692,2390,1890,1890,1862625,973097,4915363,6965,56.344269,71.111905,232.860174,278.274446,0.215643,0.353327
dblp,12,legacy_beam,rounds,163897,77632,163897,541268,202282,202282,202282,202282,4640,2150,1653,1653,1863783,964987,4730923,6377,58.567668,62.347597,227.418668,306.389386,0.204492,0.319824
dblp,13,legacy_beam,rounds,162244,77206,162244,526782,198454,198454,198454,198454,3670,1704,1336,1336,1860180,956763,4646976,5239,57.530893,54.086866,223.304837,195.355289,0.150517,0.257903
dblp,14,legacy_beam,rounds,160908,76992,160908,521001,193520,193520,193520,193520,2965,1426,1125,1125,1857603,949696,4567905,4503,53.738125,53.353708,220.787756,189.694280,0.130627,0.229864
dblp,15,legacy_beam,rounds,159783,76310,159783,521197,190726,190726,190726,190726,2387,1109,882,882,1857075,945140,4507479,3729,55.679879,53.689574,222.812124,192.285597,0.110050,0.189510
dblp,16,legacy_beam,rounds,158901,76541,158901,490411,182406,182406,182406,182406,2032,951,793,793,1852804,938424,4287003,3466,53.340634,52.260262,217.082192,191.530487,0.101402,0.170340
