dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
amazon,1,legacy_beam,rounds,334863,116077,334863,1974338,819894,819894,819894,819894,780455,27487,12079,12079,1705379,1702061,10090740,24158,92.059989,179.525920,622.338107,351.971258,1.188258,1.532928
amazon,2,legacy_beam,rounds,322784,113875,322784,1662938,743207,743207,743207,743207,613748,76714,35983,35983,1700712,1602978,9126639,74857,89.287284,104.333518,548.674821,289.598601,2.575036,4.954180
amazon,3,legacy_beam,rounds,286801,108617,286801,1086635,554257,554257,554257,554257,303497,53691,28576,28576,1687162,1340953,6726274,63429,81.065762,83.206440,460.438076,270.585563,2.067059,4.234455
amazon,4,legacy_beam,rounds,258225,102872,258225,837846,429290,429290,429290,429290,147519,35625,19231,19231,1675417,1179075,5269103,44814,78.991240,76.064613,394.222628,288.626461,1.595037,2.796591
amazon,5,legacy_beam,rounds,238994,98135,238994,689119,344335,344335,344335,344335,78730,25829,13600,13600,1663088,1085995,4300164,33105,76.565914,62.280998,333.476443,253.272217,1.149846,1.914307
amazon,6,legacy_beam,rounds,225394,94355,225394,628822,296453,296453,296453,296453,46833,19228,9870,9870,1654574,1027290,3788299,24941,66.787416,54.702277,310.233997,208.249422,0.920704,1.493439
amazon,7,legacy_beam,rounds,215524,91259,215524,594716,270181,270181,270181,270181,30732,14881,7818,7818,1650496,988352,3511053,20743,64.585216,53.998633,297.199549,212.017370,0.679648,1.142032
amazon,8,legacy_beam,rounds,207706,89046,207706,541456,242677,242677,242677,242677,19064,9924,5897,5897,1644950,957126,3232698,16361,64.570499,48.490616,288.075199,196.393249,0.502090,0.877785
amazon,9,legacy_beam,rounds,201809,87169,201809,527263,227664,227664,227664,227664,13937,8419,4447,4447,1641323,934985,3018449,13021,65.536061,48.358286,259.411942,190.351676,0.407783,0.642169
amazon,10,legacy_beam,rounds,197362,85611,197362,485540,212068,212068,212068,212068,9252,5499,3685,3685,1641069,918846,2864464,11260,62.508421,44.991343,271.838712,187.231413,0.328080,0.553024
amazon,11,legacy_beam,rounds,193677,84580,193677,484620,207191,207191,207191,207191,7885,5213,2842,2842,1637330,903540,2804737,9016,63.502315,44.004862,249.046073,177.447137,0.268049,0.417834
amazon,12,legacy_beam,rounds,190835,83399,190835,457792,198189,198189,198189,198189,5124,3252,2345,2345,1637600,892895,2712140,7879,59.168037,42.367282,258.381720,191.954610,0.229097,0.362389
amazon,13,legacy_beam,rounds,188490,83052,188490,441835,191209,191209,191209,191209,3930,2695,1960,1960,1634566,882778,2630389,6895,60.001052,40.923310,250.767997,174.602068,0.184200,0.305950
amazon,14,legacy_beam,rounds,186530,82425,186530,445587,188961,188961,188961,188961,4020,3023,1627,1627,1632911,874408,2595164,5922,56.755435,42.740975,240.774275,180.005754,0.169324,0.249097
amazon,15,legacy_beam,rounds,184903,82137,184903,447137,185768,185768,185768,185768,3353,2605,1375,1375,1630057,867037,2560835,5167,57.214943,44.853662,250.522291,169.817226,0.148555,0.212943
amazon,16,legacy_beam,rounds,183528,81320,183528,430386,182701,182701,182701,182701,2554,1982,1127,1127,1631653,861674,2525238,4402,55.914014,42.522673,232.573936,180.745771,0.124464,0.186863
amazon,17,legacy_beam,rounds,182401,81008,182401,419607,177611,177611,177611,177611,1611,1149,974,974,1631436,857752,2461817,3866,60.213058,49.698297,251.931986,252.752812,0.113322,0.207172
amazon,18,legacy_beam,rounds,181427,80905,181427,422990,178722,178722,178722,178722,1395,1057,786,786,1629635,852500,2504917,3222,61.132944,49.992684,235.050767,200.895937,0.101740,0.157794
amazon,19,legacy_beam,rounds,180641,80448,180641,411794,173301,173301,173301,173301,1143,874,710,710,1631014,850258,2405620,2982,63.105645,43.838654,238.980467,207.153371,0.082124,0.147785
amazon,20,legacy_beam,rounds,179931,80466,179931,410296,172713,172713,172713,172713,926,728,609,609,1628180,846470,2413147,2601,59.872832,135.988887,256.034842,730.192924,0.087660,0.156340
amazon,1,legacy_beam,rounds,334863,116077,334863,1974338,819894,819894,819894,819894,780455,27487,12079,12079,1705379,1702061,10090740,24158,95.077153,172.382268,594.233932,376.764623,1.142832,1.574688
