dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
dblp,1,legacy_beam,rounds,317080,106786,317080,4925222,878558,878558,878558,878558,868025,14605,7003,7003,2020886,2020883,17629127,14006,84.196306,189.459805,622.543569,403.081359,0.629649,0.948439
dblp,2,legacy_beam,rounds,310077,104441,310077,4261337,837669,837669,837669,837669,777613,186201,53949,53949,2019014,1984540,17057824,109383,87.174515,133.241039,575.510612,361.904858,4.675365,6.718811
dblp,3,legacy_beam,rounds,256128,99226,256128,1595198,545386,545386,545386,545386,267400,86339,41869,41869,1989209,1480960,10528579,107849,73.869856,97.705489,412.743010,324.519569,3.224202,5.648709
dblp,4,legacy_beam,rounds,214259,93745,214259,988554,382987,382987,382987,382987,102250,30209,15779,15779,1913432,1214178,7780066,40724,64.285208,79.127254,321.184397,253.877889,1.300312,2.202317
dblp,5,legacy_beam,rounds,198480,89258,198480,751081,320676,320676,320676,320676,55148,18687,10752,10752,1896252,1129654,6651974,28835,64.373604,66.790003,286.208238,242.593273,0.906039,1.569523
dblp,6,legacy_beam,rounds,187728,86198,187728,692224,279165,279165,279165,279165,32146,11239,7191,7191,1885217,1077313,6123156,20888,63.935977,64.532573,267.561996,219.933820,0.600308,1.066898
dblp,7,legacy_beam,rounds,180537,83661,180537,663077,258530,258530,258530,258530,20818,7895,5263,5263,1876216,1042352,5799375,16066,59.160896,65.297953,251.665788,245.283119,0.468701,0.815552
dblp,8,legacy_beam,rounds,175274,81805,175274,641292,242919,242919,242919,242919,14716,5865,4032,4032,1869133,1017905,5611969,13008,58.636337,61.191138,243.039107,202.432740,0.350594,0.603585
dblp,9,legacy_beam,rounds,171242,80313,171242,590775,228942,228942,228942,228942,10163,4163,3004,3004,1868960,999649,5274969,10231,57.648734,58.226641,239.105275,202.668849,0.274621,0.498725
dblp,10,legacy_beam,rounds,168238,79139,168238,578895,219538,219538,219538,219538,7585,3190,2451,2451,1867773,985779,5142947,8770,59.279818,56.364325,234.759418,195.856503,0.229178,0.390722
dblp,11,legacy_beam,rounds,165787,78563,165787,556003,208953,208953,208953,208953,5692,2390,1890,1890,1862625,973097,4915363,6965,57.093458,54.188169,229.655861,198.002138,0.181110,0.320670
dblp,12,legacy_beam,rounds,163897,77632,163897,541268,202282,202282,202282,202282,4640,2150,1653,1653,1863783,964987,4730923,6377,61.192968,62.052765,223.476623,224.951546,0.164098,0.281855
dblp,13,legacy_beam,rounds,162244,77206,162244,526782,198454,198454,198454,198454,3670,1704,1336,1336,1860180,956763,4646976,5239,62.845953,63.611078,220.671315,263.134633,0.128787,0.227851
dblp,14,legacy_beam,rounds,160908,76992,160908,521001,193520,193520,193520,193520,2965,1426,1125,1125,1857603,949696,4567905,4503,52.266870,53.858710,222.151251,188.354478,0.105910,0.200141
dblp,15,legacy_beam,rounds,159783,76310,159783,521197,190726,190726,190726,190726,2387,1109,882,882,1857075,945140,4507479,3729,55.066034,53.792178,219.005744,189.960636,0.087376,0.167256
dblp,16,legacy_beam,rounds,158901,76541,158901,490411,182406,182406,182406,182406,2032,951,793,793,1852804,938424,4287003,3466,54.220276,53.477043,219.085456,185.149078,0.080929,0.163137
dblp,17,legacy_beam,rounds,158108,75929,158108,510936,185667,185667,185667,185667,1666,805,692,692,1854871,935756,4416121,3125,54.599904,51.322513,213.684113,184.588724,0.070222,0.131653
dblp,18,legacy_beam,rounds,157416,75455,157416,523936,185324,185324,185324,185324,1457,695,595,595,1855108,933293,4469854,2721,56.460466,53.904876,215.799457,191.711786,0.064007,0.125461
dblp,19,legacy_beam,rounds,156821,75547,156821,503840,179355,179355,179355,179355,1184,587,504,504,1853804,929507,4325444,2264,56.171277,52.986178,207.537866,200.145967,0.053898,0.112311
dblp,20,legacy_beam,rounds,156317,75494,156317,478521,174638,174638,174638,174638,1092,552,482,482,1853934,927528,4147496,2240,54.881820,49.795907,214.455092,184.654898,0.048268,0.104646
dblp,1,legacy_beam,rounds,317080,106786,317080,4925222,878558,878558,878558,878558,868025,14605,7003,7003,2020886,2020883,17629127,14006,84.616371,192.424498,619.009725,381.810639,0.615560,0.947426
dblp,2,legacy_beam,rounds,310077,104441,310077,4261337,837669,837669,837669,837669,777613,186201,53949,53949,2019014,1984540,17057824,109383,85.758156,134.499763,575.010155,411.322344,5.154736,6.524158
dblp,3,legacy_beam,rounds,256128,99226,256128,1595198,545386,545386,545386,545386,267400,86339,41869,41869,1989209,1480960,10528579,107849,74.219687,98.457846,414.711630,337.792349,3.435418,5.739168
dblp,4,legacy_beam,rounds,214259,93745,214259,988554,382987,382987,382987,382987,102250,30209,15779,15779,1913432,1214178,7780066,40724,73.878719,82.640461,309.534127,280.053195,1.403646,2.220587
dblp,5,legacy_beam,rounds,198480,89258,198480,751081,320676,320676,320676,320676,55148,18687,10752,10752,1896252,1129654,6651974,28835,62.096726,69.694920,286.049057,243.435509,0.878427,1.504504
dblp,6,legacy_beam,rounds,187728,86198,187728,692224,279165,279165,279165,279165,32146,11239,7191,7191,1885217,1077313,6123156,20888,58.378766,68.998569,262.837275,229.711462,0.615522,1.070532
dblp,7,legacy_beam,rounds,180537,83661,180537,663077,258530,258530,258530,258530,20818,7895,5263,5263,1876216,1042352,5799375,16066,61.581764,65.172823,252.431568,216.510119,0.470694,0.813963
dblp,8,legacy_beam,rounds,175274,81805,175274,641292,242919,242919,242919,242919,14716,5865,4032,4032,1869133,1017905,5611969,13008,58.812587,62.887014,247.168191,213.761101,0.369374,0.649508
dblp,9,legacy_beam,rounds,171242,80313,171242,590775,228942,228942,228942,228942,10163,4163,3004,3004,1868960,999649,5274969,10231,59.454887,58.780513,233.971292,211.378710,0.280113,0.509009
dblp,10,legacy_beam,rounds,168238,79139,168238,578895,219538,219538,219538,219538,7585,3190,2451,2451,1867773,985779,5142947,8770,58.647508,64.454448,232.962621,334.599253,0.244178,0.405859
dblp,11,legacy_beam,rounds,165787,78563,165787,556003,208953,208953,208953,208953,5692,2390,1890,1890,1862625,973097,4915363,6965,53.732129,55.237474,227.337630,204.565141,0.182678,0.318351
dblp,12,legacy_beam,rounds,163897,77632,163897,541268,202282,202282,202282,202282,4640,2150,1653,1653,1863783,964987,4730923,6377,56.819761,55.679077,225.164693,198.974657,0.163892,0.292739
dblp,13,legacy_beam,rounds,162244,77206,162244,526782,198454,198454,198454,198454,3670,1704,1336,1336,1860180,956763,4646976,5239,52.485690,53.529859,219.790305,201.562654,0.127004,0.235467
dblp,14,legacy_beam,rounds,160908,76992,160908,521001,193520,193520,193520,193520,2965,1426,1125,1125,1857603,949696,4567905,4503,56.123049,55.694549,219.779497,198.463809,0.110538,0.208311
dblp,15,legacy_beam,rounds,159783,76310,159783,521197,190726,190726,190726,190726,2387,1109,882,882,1857075,945140,4507479,3729,56.112379,53.417468,218.661088,193.431351,0.088787,0.169206
dblp,16,legacy_beam,rounds,158901,76541,158901,490411,182406,182406,182406,182406,2032,951,793,793,1852804,938424,4287003,3466,53.447758,55.211247,220.014137,234.509969,0.082232,0.163228
dblp,17,legacy_beam,rounds,158108,75929,158108,510936,185667,185667,185667,185667,1666,805,692,692,1854871,935756,4416121,3125,55.092873,58.694736,214.014548,238.167245,0.073135,0.141991
dblp,18,legacy_beam,rounds,157416,75455,157416,523936,185324,185324,185324,185324,1457,695,595,595,1855108,933293,4469854,2721,56.344473,53.546840,207.206617,212.691395,0.063844,0.125470
dblp,19,legacy_beam,rounds,156821,75547,156821,503840,179355,179355,179355,179355,1184,587,504,504,1853804,929507,4325444,2264,52.085401,52.175714,210.986322,194.934528,0.054157,0.113948
dblp,20,legacy_beam,rounds,156317,75494,156317,478521,174638,174638,174638,174638,1092,552,482,482,1853934,927528,4147496,2240,54.337491,52.067696,209.938819,198.258622,0.054430,0.108807
