dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
amazon,1,legacy_beam,rounds,334863,116077,334863,1974338,819894,819894,819894,819894,780455,27487,12079,12079,1705379,1702061,10090740,24158,90.682488,164.246213,607.716534,366.455086,1.145154,1.687892
amazon,2,legacy_beam,rounds,322784,113875,322784,1662938,743207,743207,743207,743207,613748,76714,35983,35983,1700712,1602978,9126639,74857,98.025782,111.917055,535.494330,374.338422,2.847966,5.089085
amazon,3,legacy_beam,rounds,286801,108617,286801,1086635,554257,554257,554257,554257,303497,53691,28576,28576,1687162,1340953,6726274,63429,91.741184,95.160919,441.596650,372.864623,2.192822,3.904326
amazon,4,legacy_beam,rounds,258225,102872,258225,837846,429290,429290,429290,429290,147519,35625,19231,19231,1675417,1179075,5269103,44814,85.733563,94.440588,356.303266,380.597044,1.807290,2.966751
amazon,5,legacy_beam,rounds,238994,98135,238994,689119,344335,344335,344335,344335,78730,25829,13600,13600,1663088,1085995,4300164,33105,82.906287,95.397982,330.561771,744.602235,1.345301,1.971197
amazon,6,legacy_beam,rounds,225394,94355,225394,628822,296453,296453,296453,296453,46833,19228,9870,9870,1654574,1027290,3788299,24941,87.231499,58.834221,281.460994,288.126430,1.081624,1.513138
amazon,7,legacy_beam,rounds,215524,91259,215524,594716,270181,270181,270181,270181,30732,14881,7818,7818,1650496,988352,3511053,20743,71.844364,59.887627,276.629884,253.567166,0.746992,1.223683
amazon,8,legacy_beam,rounds,207706,89046,207706,541456,242677,242677,242677,242677,19064,9924,5897,5897,1644950,957126,3232698,16361,67.976386,50.754737,262.022696,237.410471,0.524979,0.946506
amazon,9,legacy_beam,rounds,201809,87169,201809,527263,227664,227664,227664,227664,13937,8419,4447,4447,1641323,934985,3018449,13021,67.213302,71.690722,261.346139,423.304627,0.482077,0.733735
amazon,10,legacy_beam,rounds,197362,85611,197362,485540,212068,212068,212068,212068,9252,5499,3685,3685,1641069,918846,2864464,11260,76.075720,51.248217,246.221101,288.828390,0.389924,0.637842
amazon,11,legacy_beam,rounds,193677,84580,193677,484620,207191,207191,207191,207191,7885,5213,2842,2842,1637330,903540,2804737,9016,88.231575,54.462657,240.815542,295.128760,0.291143,0.467796
amazon,12,legacy_beam,rounds,190835,83399,190835,457792,198189,198189,198189,198189,5124,3252,2345,2345,1637600,892895,2712140,7879,63.061112,50.221554,226.879612,245.338899,0.215934,0.368981
amazon,13,legacy_beam,rounds,188490,83052,188490,441835,191209,191209,191209,191209,3930,2695,1960,1960,1634566,882778,2630389,6895,59.716591,45.925017,235.701533,219.143915,0.183227,0.330212
amazon,14,legacy_beam,rounds,186530,82425,186530,445587,188961,188961,188961,188961,4020,3023,1627,1627,1632911,874408,2595164,5922,86.142718,50.921519,223.506340,244.042088,0.188116,0.313033
amazon,15,legacy_beam,rounds,184903,82137,184903,447137,185768,185768,185768,185768,3353,2605,1375,1375,1630057,867037,2560835,5167,60.356927,58.396510,235.965858,345.001647,0.191853,0.316016
amazon,16,legacy_beam,rounds,183528,81320,183528,430386,182701,182701,182701,182701,2554,1982,1127,1127,1631653,861674,2525238,4402,76.627741,47.870014,221.485778,309.031438,0.129298,0.224976
amazon,17,legacy_beam,rounds,182401,81008,182401,419607,177611,177611,177611,177611,1611,1149,974,974,1631436,857752,2461817,3866,66.361021,46.119640,214.653263,240.866555,0.099571,0.196035
amazon,18,legacy_beam,rounds,181427,80905,181427,422990,178722,178722,178722,178722,1395,1057,786,786,1629635,852500,2504917,3222,73.111178,51.781589,228.732185,257.249303,0.085673,0.173535
amazon,19,legacy_beam,rounds,180641,80448,180641,411794,173301,173301,173301,173301,1143,874,710,710,1631014,850258,2405620,2982,80.361729,55.244948,229.875755,305.115976,0.073702,0.146476
amazon,20,legacy_beam,rounds,179931,80466,179931,410296,172713,172713,172713,172713,926,728,609,609,1628180,846470,2413147,2601,65.389298,48.627010,219.014906,277.182379,0.069440,0.143423
amazon,1,legacy_beam,rounds,334863,116077,334863,1974338,819894,819894,819894,819894,780455,27487,12079,12079,1705379,1702061,10090740,24158,100.331491,190.454847,650.291356,438.538509,1.340368,1.706919
amazon,2,legacy_beam,rounds,322784,113875,322784,1662938,743207,743207,743207,743207,613748,76714,35983,35983,1700712,1602978,9126639,74857,94.610556,134.035505,591.245376,490.825614,3.217676,5.046317
amazon,3,legacy_beam,rounds,286801,108617,286801,1086635,554257,554257,554257,554257,303497,53691,28576,28576,1687162,1340953,6726274,63429,91.078052,92.779696,427.692779,478.878338,2.353698,3.830544
amazon,4,legacy_beam,rounds,258225,102872,258225,837846,429290,429290,429290,429290,147519,35625,19231,19231,1675417,1179075,5269103,44814,82.476823,72.128912,361.927145,308.031261,1.658199,2.755550
amazon,5,legacy_beam,rounds,238994,98135,238994,689119,344335,344335,344335,344335,78730,25829,13600,13600,1663088,1085995,4300164,33105,81.120347,69.710120,323.316605,332.586373,1.413049,2.213593
amazon,6,legacy_beam,rounds,225394,94355,225394,628822,296453,296453,296453,296453,46833,19228,9870,9870,1654574,1027290,3788299,24941,71.105706,58.219353,297.588757,260.600401,1.059742,1.446624
amazon,7,legacy_beam,rounds,215524,91259,215524,594716,270181,270181,270181,270181,30732,14881,7818,7818,1650496,988352,3511053,20743,72.506945,58.214239,279.501695,261.142887,0.785386,1.123317
amazon,8,legacy_beam,rounds,207706,89046,207706,541456,242677,242677,242677,242677,19064,9924,5897,5897,1644950,957126,3232698,16361,67.519952,51.217848,266.136031,240.671349,0.589096,0.885030
amazon,9,legacy_beam,rounds,201809,87169,201809,527263,227664,227664,227664,227664,13937,8419,4447,4447,1641323,934985,3018449,13021,67.220863,52.723721,257.730372,246.047797,0.509958,0.679894
amazon,10,legacy_beam,rounds,197362,85611,197362,485540,212068,212068,212068,212068,9252,5499,3685,3685,1641069,918846,2864464,11260,67.274453,48.085090,249.372207,232.951223,0.370935,0.551173
amazon,11,legacy_beam,rounds,193677,84580,193677,484620,207191,207191,207191,207191,7885,5213,2842,2842,1637330,903540,2804737,9016,65.718514,48.221886,243.318495,227.635283,0.310487,0.437257
amazon,12,legacy_beam,rounds,190835,83399,190835,457792,198189,198189,198189,198189,5124,3252,2345,2345,1637600,892895,2712140,7879,67.295342,45.842159,236.851420,224.138256,0.247523,0.385327
amazon,13,legacy_beam,rounds,188490,83052,188490,441835,191209,191209,191209,191209,3930,2695,1960,1960,1634566,882778,2630389,6895,66.024427,44.226250,234.217630,216.641062,0.215876,0.320161
amazon,14,legacy_beam,rounds,186530,82425,186530,445587,188961,188961,188961,188961,4020,3023,1627,1627,1632911,874408,2595164,5922,62.791873,55.257983,239.363315,243.892534,0.194842,0.305571
amazon,15,legacy_beam,rounds,184903,82137,184903,447137,185768,185768,185768,185768,3353,2605,1375,1375,1630057,867037,2560835,5167,64.441416,47.824715,225.780490,217.907844,0.169465,0.242083
amazon,16,legacy_beam,rounds,183528,81320,183528,430386,182701,182701,182701,182701,2554,1982,1127,1127,1631653,861674,2525238,4402,69.739531,43.885949,222.666783,216.436678,0.140846,0.208033
amazon,17,legacy_beam,rounds,182401,81008,182401,419607,177611,177611,177611,177611,1611,1149,974,974,1631436,857752,2461817,3866,67.781421,44.175054,221.246349,210.955957,0.117463,0.206487
amazon,18,legacy_beam,rounds,181427,80905,181427,422990,178722,178722,178722,178722,1395,1057,786,786,1629635,852500,2504917,3222,64.212719,41.714081,224.248599,210.723523,0.095254,0.158090
amazon,19,legacy_beam,rounds,180641,80448,180641,411794,173301,173301,173301,173301,1143,874,710,710,1631014,850258,2405620,2982,62.870691,43.712259,224.652269,208.895111,0.090170,0.153784
amazon,20,legacy_beam,rounds,179931,80466,179931,410296,172713,172713,172713,172713,926,728,609,609,1628180,846470,2413147,2601,63.304330,41.586320,218.746832,209.477239,0.070107,0.136346
