dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
facebook,13,legacy_beam,rounds,2108,355,2108,407000,13907,13907,13907,13907,912,226,59,59,173840,63836,1038153,196,0.593858,5.962437,16.230672,2.382937,0.006942,0.009307
facebook,14,legacy_beam,rounds,2049,404,2049,456523,12504,12504,12504,12504,602,53,36,36,173409,61743,1005874,126,0.587146,3.924013,14.530763,2.322167,0.002256,0.005880
facebook,15,legacy_beam,rounds,2013,428,2013,380857,11554,11554,11554,11554,572,44,32,32,173422,60694,980887,103,0.594891,2.010842,11.722297,2.384789,0.001582,0.005359
facebook,16,legacy_beam,rounds,1981,465,1981,353567,10008,10008,10008,10008,371,16,15,15,173577,59326,895769,50,0.602855,2.182804,11.055548,2.512208,0.000812,0.002345
facebook,17,legacy_beam,rounds,1966,403,1966,576158,11087,11087,11087,11087,461,46,30,30,173259,58668,960315,103,0.577267,8.496805,16.301220,2.315306,0.002065,0.004959
facebook,18,legacy_beam,rounds,1936,416,1936,341411,10764,10764,10764,10764,336,42,27,27,172816,57276,893635,100,0.577808,2.971706,11.231957,2.337186,0.001510,0.004158
facebook,19,legacy_beam,rounds,1909,462,1909,475533,9403,9403,9403,9403,274,17,16,16,172317,56442,884144,43,0.577729,3.044211,10.356006,2.264347,0.000922,0.002446
facebook,20,legacy_beam,rounds,1893,428,1893,398180,9783,9783,9783,9783,286,27,21,21,173035,56338,882573,84,0.588769,2.283724,10.238239,2.219677,0.001593,0.002936
facebook,1,legacy_beam,rounds,4039,747,4039,2727353,26921,26921,26921,26921,26920,39,17,17,173840,173840,3640612,34,0.814493,17.796229,65.907402,6.430682,0.001262,0.002126
facebook,2,legacy_beam,rounds,4022,703,4022,3683689,27059,27059,27059,27059,25869,7986,703,703,174089,169605,3616864,1408,0.918036,27.068015,56.908577,11.263779,0.296102,0.069271
facebook,3,legacy_beam,rounds,3319,702,3319,1298877,19927,19927,19927,19927,14187,1233,326,326,173579,111025,2096783,790,0.826225,8.339991,32.534842,8.967428,0.042341,0.042180
facebook,4,legacy_beam,rounds,2993,623,2993,854864,17507,17507,17507,17507,8330,503,186,186,173623,96032,1704556,463,0.799525,4.713320,25.973923,5.751377,0.015789,0.027081
facebook,5,legacy_beam,rounds,2807,566,2807,622283,15906,15906,15906,15906,5418,500,145,145,174199,88131,1464207,350,0.740625,3.295520,23.098134,3.906427,0.013623,0.020004
facebook,6,legacy_beam,rounds,2662,457,2662,715991,17575,17575,17575,17575,4913,375,161,161,174088,84064,1501021,437,0.676836,9.378013,25.221808,5.119357,0.012075,0.019246
facebook,7,legacy_beam,rounds,2501,568,2501,829794,13630,13630,13630,13630,2740,114,86,86,173212,76912,1322104,259,0.659102,6.555034,19.201144,4.242120,0.005262,0.010849
facebook,8,legacy_beam,rounds,2415,506,2415,628141,13920,13920,13920,13920,2286,174,80,80,173426,74113,1261908,216,0.650086,3.506676,16.442869,9.021243,0.005979,0.014075
facebook,9,legacy_beam,rounds,2335,502,2335,659174,13284,13284,13284,13284,1717,101,61,61,173143,70957,1245440,182,0.636921,3.314969,15.360348,3.196562,0.003616,0.009576
facebook,10,legacy_beam,rounds,2274,520,2274,401524,12288,12288,12288,12288,1281,74,64,64,173108,68934,1079855,191,0.666315,2.330837,16.340261,5.095698,0.003307,0.009107
facebook,11,legacy_beam,rounds,2210,520,2210,523425,11486,11486,11486,11486,1120,90,59,59,173205,66672,1071361,181,0.639756,3.295290,13.216029,3.078092,0.003782,0.007994
facebook,12,legacy_beam,rounds,2151,523,2151,345101,10500,10500,10500,10500,736,53,43,43,172865,64394,959323,123,0.626170,2.291481,12.839217,8.171872,0.002646,0.006543
facebook,13,legacy_beam,rounds,2108,355,2108,407000,13907,13907,13907,13907,912,226,59,59,173840,63836,1038153,196,0.594903,9.344470,18.025956,4.585392,0.007596,0.010340
facebook,14,legacy_beam,rounds,2049,404,2049,456523,12504,12504,12504,12504,602,53,36,36,173409,61743,1005874,126,0.606283,4.527201,16.889925,3.012598,0.002465,0.005770
facebook,15,legacy_beam,rounds,2013,428,2013,380857,11554,11554,11554,11554,572,44,32,32,173422,60694,980887,103,0.592838,2.432196,14.301303,4.617447,0.002178,0.004297
facebook,16,legacy_beam,rounds,1981,465,1981,353567,10008,10008,10008,10008,371,16,15,15,173577,59326,895769,50,0.590163,2.198080,12.091875,2.820356,0.000863,0.002285
facebook,17,legacy_beam,rounds,1966,403,1966,576158,11087,11087,11087,11087,461,46,30,30,173259,58668,960315,103,0.579193,9.024671,17.474039,2.936634,0.002965,0.005009
facebook,18,legacy_beam,rounds,1936,416,1936,341411,10764,10764,10764,10764,336,42,27,27,172816,57276,893635,100,0.594722,3.239558,12.304836,5.386414,0.001752,0.003636
facebook,19,legacy_beam,rounds,1909,462,1909,475533,9403,9403,9403,9403,274,17,16,16,172317,56442,884144,43,0.615090,3.068947,12.738845,2.776833,0.001243,0.002234
facebook,20,legacy_beam,rounds,1893,428,1893,398180,9783,9783,9783,9783,286,27,21,21,173035,56338,882573,84,0.579474,2.359912,10.697579,4.554369,0.001623,0.003216
