dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
facebook,1,legacy_beam,rounds,4039,747,4039,2727353,26921,26921,26921,26921,26920,39,17,17,173840,173840,3640612,34,0.876211,73.181320,116.424456,1846.492367,0.002274,0.002705
facebook,2,legacy_beam,rounds,4022,703,4022,3683689,27059,27059,27059,27059,25869,7986,703,703,174089,169605,3616864,1408,0.902810,102.272168,120.852390,1835.800241,0.568098,0.083063
facebook,3,legacy_beam,rounds,3319,702,3319,1298877,19927,19927,19927,19927,14187,1233,326,326,173579,111025,2096783,790,6.078777,67.620411,45.673428,1731.341087,0.094872,0.045664
facebook,4,legacy_beam,rounds,2993,623,2993,854864,17507,17507,17507,17507,8330,503,186,186,173623,96032,1704556,463,3.072961,52.342066,42.366640,1704.288103,0.048990,0.034863
facebook,5,legacy_beam,rounds,2807,566,2807,622283,15906,15906,15906,15906,5418,500,145,145,174199,88131,1464207,350,5.390734,42.206911,44.378688,1673.534502,0.039431,0.028194
facebook,6,legacy_beam,rounds,2662,457,2662,715991,17575,17575,17575,17575,4913,375,161,161,174088,84064,1501021,437,6.550156,48.199915,47.116438,1316.361660,0.034572,0.027471
facebook,7,legacy_beam,rounds,2501,568,2501,829794,13630,13630,13630,13630,2740,114,86,86,173212,76912,1322104,259,0.803828,47.296528,31.713528,1415.019856,0.016247,0.016690
facebook,8,legacy_beam,rounds,2415,506,2415,628141,13920,13920,13920,13920,2286,174,80,80,173426,74113,1261908,216,3.563124,38.824179,24.698732,1221.639492,0.014603,0.015449
facebook,9,legacy_beam,rounds,2335,502,2335,659174,13284,13284,13284,13284,1717,101,61,61,173143,70957,1245440,182,6.659990,33.709042,30.667786,1254.810560,0.012194,0.019027
facebook,10,legacy_beam,rounds,2274,520,2274,401524,12288,12288,12288,12288,1281,74,64,64,173108,68934,1079855,191,2.516489,31.477831,41.968045,1302.289079,0.008690,0.012883
facebook,11,legacy_beam,rounds,2210,520,2210,523425,11486,11486,11486,11486,1120,90,59,59,173205,66672,1071361,181,4.795441,37.211891,31.758229,1311.731392,0.008784,0.011461
facebook,12,legacy_beam,rounds,2151,523,2151,345101,10500,10500,10500,10500,736,53,43,43,172865,64394,959323,123,4.052645,38.717394,19.905180,1280.772904,0.007244,0.010239
facebook,13,legacy_beam,rounds,2108,355,2108,407000,13907,13907,13907,13907,912,226,59,59,173840,63836,1038153,196,3.265176,34.326558,24.737134,946.027868,0.016213,0.011483
facebook,14,legacy_beam,rounds,2049,404,2049,456523,12504,12504,12504,12504,602,53,36,36,173409,61743,1005874,126,3.305832,33.625083,29.810687,1010.455738,0.009242,0.018254
facebook,15,legacy_beam,rounds,2013,428,2013,380857,11554,11554,11554,11554,572,44,32,32,173422,60694,980887,103,2.465706,36.632075,22.757958,1120.587368,0.008007,0.009117
facebook,16,legacy_beam,rounds,1981,465,1981,353567,10008,10008,10008,10008,371,16,15,15,173577,59326,895769,50,4.047837,36.672032,22.945073,1239.041385,0.002485,0.004248
facebook,17,legacy_beam,rounds,1966,403,1966,576158,11087,11087,11087,11087,461,46,30,30,173259,58668,960315,103,0.814699,39.530845,31.965121,1106.669817,0.008567,0.011270
facebook,18,legacy_beam,rounds,1936,416,1936,341411,10764,10764,10764,10764,336,42,27,27,172816,57276,893635,100,5.984512,38.814871,24.078590,1162.245322,0.007852,0.013135
facebook,19,legacy_beam,rounds,1909,462,1909,475533,9403,9403,9403,9403,274,17,16,16,172317,56442,884144,43,3.495942,34.562529,18.039079,1245.258421,0.004698,0.004609
facebook,20,legacy_beam,rounds,1893,428,1893,398180,9783,9783,9783,9783,286,27,21,21,173035,56338,882573,84,6.049321,30.516404,19.953300,1149.772242,0.004688,0.006763
facebook,1,legacy_beam,rounds,4039,747,4039,2727353,26921,26921,26921,26921,26920,39,17,17,173840,173840,3640612,34,0.810151,18.226622,71.095100,5.443376,0.001492,0.002497
facebook,2,legacy_beam,rounds,4022,703,4022,3683689,27059,27059,27059,27059,25869,7986,703,703,174089,169605,3616864,1408,0.910849,25.828251,53.468126,5.298442,0.292101,0.080219
facebook,3,legacy_beam,rounds,3319,702,3319,1298877,19927,19927,19927,19927,14187,1233,326,326,173579,111025,2096783,790,0.777090,8.518928,28.865878,4.015669,0.037263,0.044333
facebook,4,legacy_beam,rounds,2993,623,2993,854864,17507,17507,17507,17507,8330,503,186,186,173623,96032,1704556,463,0.719252,4.670106,26.221172,3.558553,0.014183,0.026890
facebook,5,legacy_beam,rounds,2807,566,2807,622283,15906,15906,15906,15906,5418,500,145,145,174199,88131,1464207,350,0.701299,3.249876,20.285198,3.493545,0.013548,0.020857
facebook,6,legacy_beam,rounds,2662,457,2662,715991,17575,17575,17575,17575,4913,375,161,161,174088,84064,1501021,437,0.671443,7.117201,21.781248,3.001883,0.010626,0.025517
facebook,7,legacy_beam,rounds,2501,568,2501,829794,13630,13630,13630,13630,2740,114,86,86,173212,76912,1322104,259,0.658869,6.449515,17.926783,3.015487,0.004959,0.013234
facebook,8,legacy_beam,rounds,2415,506,2415,628141,13920,13920,13920,13920,2286,174,80,80,173426,74113,1261908,216,0.645665,3.315989,15.703713,2.788530,0.005508,0.012424
facebook,9,legacy_beam,rounds,2335,502,2335,659174,13284,13284,13284,13284,1717,101,61,61,173143,70957,1245440,182,0.631368,3.458275,15.002489,2.766729,0.003700,0.009989
