dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
amazon,11,legacy_beam,rounds,193677,84580,193677,484620,207191,207191,207191,207191,7885,5213,2842,2842,1637330,903540,2804737,9016,60.530984,51.656968,243.487052,224.925462,0.277034,0.431324
amazon,12,legacy_beam,rounds,190835,83399,190835,457792,198189,198189,198189,198189,5124,3252,2345,2345,1637600,892895,2712140,7879,61.186309,45.535092,240.469219,218.084526,0.217284,0.387062
amazon,13,legacy_beam,rounds,188490,83052,188490,441835,191209,191209,191209,191209,3930,2695,1960,1960,1634566,882778,2630389,6895,62.721438,44.852965,230.610485,218.559488,0.188975,0.341564
amazon,14,legacy_beam,rounds,186530,82425,186530,445587,188961,188961,188961,188961,4020,3023,1627,1627,1632911,874408,2595164,5922,62.530812,45.182047,230.962595,219.185018,0.174320,0.288974
amazon,15,legacy_beam,rounds,184903,82137,184903,447137,185768,185768,185768,185768,3353,2605,1375,1375,1630057,867037,2560835,5167,61.600263,45.339197,227.715888,211.430800,0.159714,0.257556
amazon,16,legacy_beam,rounds,183528,81320,183528,430386,182701,182701,182701,182701,2554,1982,1127,1127,1631653,861674,2525238,4402,60.557764,43.695655,227.086219,210.797251,0.133033,0.204634
amazon,17,legacy_beam,rounds,182401,81008,182401,419607,177611,177611,177611,177611,1611,1149,974,974,1631436,857752,2461817,3866,59.330470,43.151857,225.171630,216.160556,0.092178,0.182123
amazon,18,legacy_beam,rounds,181427,80905,181427,422990,178722,178722,178722,178722,1395,1057,786,786,1629635,852500,2504917,3222,65.469346,46.484879,222.385651,215.637327,0.082230,0.167070
amazon,19,legacy_beam,rounds,180641,80448,180641,411794,173301,173301,173301,173301,1143,874,710,710,1631014,850258,2405620,2982,63.377876,43.334206,220.676089,210.906193,0.072835,0.143711
amazon,20,legacy_beam,rounds,179931,80466,179931,410296,172713,172713,172713,172713,926,728,609,609,1628180,846470,2413147,2601,59.234370,41.706643,222.528506,219.556512,0.062335,0.133001
