n,input_edges_raw,graph_arcs,original_undirected_edges,original_edges_eval,iterations,seed,divide_hash_dims,divide_max_group,merge_mode,scoring_backend,threshold_policy,top_k,group_batch_size,candidate_batch_budget,cuda_slice_memory_mb,overflow_group_gmax,overflow_refine_rounds,error_bound,supernode_count,P,Cp,Cm,encoding_cost,cost_ratio,num_superedges_nonloop,num_superedges_loop,num_positive_corrections,num_negative_corrections,encoding_cost_standard,cost_ratio_standard,encoding_cost_mags_x2,encoding_cost_mags_compatible,cost_ratio_mags_compatible,compression_gain,compression_java_style,runtime_run_ms,runtime_divide_ms,runtime_merge_ms,divide_max_group_size,divide_fallback_splits,runtime_encode_ms,runtime_output_ms,runtime_algorithm_ms,runtime_end_to_end_ms,merge_prepare_wall_ms,merge_prepare_task_sum_ms,merge_create_w_ms,merge_scoring_ms,merge_candidate_gen_ms,merge_gain_scoring_ms,merge_selection_ms,merge_update_ms,merge_candidate_pairs,merge_selected_pairs,merge_total_local_gain,merge_avg_local_gain,merge_group_count,merge_group_max_size,merge_raw_pair_count,merge_candidate_pairs_after_prune,merge_exact_gain_calls,merge_positive_gain_pairs,merge_rejected_by_overlap,merge_rejected_by_threshold,merge_exact_gain_calls_per_selected,merge_positive_gain_ratio,threshold_last,threshold_geom_last,threshold_adaptive_last,threshold_acceptance_scale,threshold_acceptance_rate_last,threshold_sample_count_last,cuda_init_ms,cuda_h2d_ms,cuda_row_h2d_ms,cuda_pair_h2d_ms,cuda_kernel_ms,cuda_d2h_ms,cuda_total_ms,cuda_packed_h2d_ms,cuda_packed_d2h_ms,cuda_num_calls,cuda_row_uploads,cuda_kernel_launches,cuda_h2d_bytes,cuda_d2h_bytes,cuda_max_candidates_per_launch,cuda_packed_h2d_calls,cuda_packed_d2h_calls,cuda_packed_input_bytes,cuda_packed_output_bytes,cuda_slice_count,cuda_blocks_single_slice,cuda_blocks_multi_slice,cuda_max_slice_rows,cuda_max_slice_nnz,cuda_max_slice_candidates,cuda_slice_memory_budget_bytes,overflow_groups_seen,overflow_refined_subgroups,overflow_forced_chunks,overflow_max_group_before,overflow_max_group_after,overflow_refine_ms,encode_relabel_ms,encode_count_edges_ms,encode_decision_ms,encode_correction_generation_ms,reconstruction_pass
4039,88234,176468,88234,88234,20,1,16,512,batch-ea-blocked,cpu,reciprocal,16,64,0,0,0,0,0.000000,1872,13478,22681,7662,43821,0.496645,12543,935,22681,7662,43821,0.496645,86707,43353.500000,0.491347,0.503355,0.503355,264.583841,17.420930,247.135447,255,0,11.366694,0.000000,275.950535,275.950535,140.419752,480.164866,102.076666,466.495131,377.310662,89.184469,0.563139,0.311689,11713,2167,51283,23.665436,5835,255,605623,289013,289013,11713,9546,277300,133.370097,0.040528,0.047619,0.047619,0.047619,1.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.130836,5.328939,0.855863,1.757175,unknown
36692,183831,367662,183831,183831,20,1,16,512,batch-ea-blocked,cpu,reciprocal,16,64,0,0,0,0,0.000000,15957,61825,65646,3144,130615,0.710517,56365,5460,65646,3144,130615,0.710517,255770,127885.000000,0.695666,0.289483,0.289483,1762.643358,115.740491,1646.698886,506,0,21.096993,0.000000,1783.740351,1783.740351,969.075213,2012.393649,473.825543,2075.710310,1526.784886,548.925424,8.156750,2.736893,359890,20735,53442,2.577381,73602,506,6207143,1424396,1424396,359890,339155,1064506,68.695250,0.252661,0.047619,0.047619,0.047619,1.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.756367,7.234271,2.710831,3.187848,unknown
334863,925872,1851744,925872,925872,20,1,16,512,batch-ea-blocked,cpu,reciprocal,16,64,0,0,0,0,0.000000,179322,268658,264818,39286,572762,0.618619,231011,37647,264818,39286,572762,0.618619,1107877,553938.500000,0.598288,0.381381,0.381381,9255.722396,1364.444617,7890.159619,314,0,129.910252,0.000000,9385.632648,9385.632648,1349.477791,10356.609964,3985.196178,11451.368465,6193.448473,5257.919992,14.630130,21.522256,299875,155541,379457,2.439595,1008423,314,8085572,5996392,5996392,299875,144334,5696517,38.551842,0.050009,0.047619,0.047619,0.047619,1.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,9.471952,40.569766,12.921807,30.756598,unknown
317080,1049866,2099732,1049866,1049866,20,1,16,512,batch-ea-blocked,cpu,reciprocal,16,64,0,0,0,0,0.000000,155835,348921,229747,21153,599821,0.571331,287417,61504,229747,21153,599821,0.571331,1138138,569069.000000,0.542040,0.428669,0.428669,8687.992030,1169.478698,7517.502024,189,0,127.512510,0.000000,8815.504540,8815.504540,1527.884110,9589.796240,3576.495650,10715.918835,5866.948584,4848.970251,14.449530,21.304163,380762,161245,463550,2.874818,851098,189,8595213,6095695,6095695,380762,219517,5714933,37.803932,0.062464,0.047619,0.047619,0.047619,1.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,7.638285,42.685398,12.326146,27.503661,unknown
1134890,2987624,5975248,2987624,2987624,20,1,16,512,batch-ea-blocked,cpu,reciprocal,16,64,0,0,0,0,0.000000,519883,1078907,1101708,16065,2196680,0.735260,1064904,14003,1101708,16065,2196680,0.735260,4379357,2189678.500000,0.732916,0.264740,0.264740,57927.986216,7380.834257,50540.894817,512,0,501.656914,0.000000,58429.643130,58429.643130,23828.011211,43877.835781,14763.763209,51875.008556,28783.999865,23091.008691,352.179732,94.192781,13548785,615007,802577,1.304988,2438147,512,166465763,31367993,31367993,13548785,12933778,17819208,51.004286,0.431930,0.047619,0.047619,0.047619,1.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,41.343588,131.920978,52.523187,124.405219,unknown
1965206,2766607,5533214,2766607,2766607,20,1,16,512,batch-ea-blocked,cpu,reciprocal,16,64,0,0,0,0,0.000000,1278139,698766,1230219,50607,1979592,0.715531,656992,41774,1230219,50607,1979592,0.715531,3917410,1958705.000000,0.707981,0.284469,0.284469,95372.858114,26394.431364,68970.356255,11,0,614.250934,0.000000,95987.109048,95987.109048,5777.870716,43237.484615,20156.267067,76406.644893,21765.968080,54640.676813,78.396215,97.936259,862286,687067,827343,1.204166,8251641,11,23069506,17636358,17636358,862286,175219,16774072,25.669051,0.048893,0.047619,0.047619,0.047619,1.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,57.294966,341.054511,45.182570,55.873083,unknown
3997962,34681189,69362378,34681189,34681189,20,1,16,512,batch-ea-blocked,cpu,reciprocal,16,64,0,0,0,0,0.000000,2348740,12388291,13093280,720646,26202217,0.755517,11988773,399518,13093280,720646,26202217,0.755517,52004916,26002458.000000,0.749757,0.244483,0.244483,260757.483260,71691.993584,189045.300918,511,0,5916.596746,0.000000,266674.080006,266674.080006,71934.199387,361974.750364,163605.704518,299710.681108,197156.399701,102554.281405,200.687844,241.854907,4175972,1649222,8989221,5.450583,9010080,511,401377638,159916415,159916415,4175972,2526750,155740443,96.964760,0.026113,0.047619,0.047619,0.047619,1.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,122.637418,1816.019017,569.763524,1532.550404,unknown
