dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
email_enron,12,legacy_beam,rounds,18047,7935,18047,723307,52867,52867,52867,52867,14082,12695,372,372,337620,233611,2953750,1817,4.564930,37.806126,62.074713,20.320295,0.244844,0.059796
email_enron,13,legacy_beam,rounds,17675,7710,17675,552474,52502,52502,52502,52502,12115,11008,324,324,337705,232120,2997869,1542,4.330602,28.451435,54.090731,19.639624,0.147479,0.049959
email_enron,14,legacy_beam,rounds,17351,7678,17351,611025,52750,52750,52750,52750,11190,10233,263,263,336513,229589,2894509,1396,4.211960,31.736831,54.969148,18.556834,0.174463,0.044733
email_enron,15,legacy_beam,rounds,17088,7858,17088,395087,40033,40033,40033,40033,6509,5923,238,238,337059,228373,2448950,1327,4.271732,18.264328,43.060847,18.669955,0.080230,0.039779
email_enron,16,legacy_beam,rounds,16850,7606,16850,540214,44216,44216,44216,44216,8648,7972,185,185,337155,227238,2671913,1087,4.287421,29.904520,54.530511,18.579047,0.147821,0.032989
email_enron,17,legacy_beam,rounds,16665,7263,16665,610398,46526,46526,46526,46526,9651,9183,231,231,338215,226757,2917073,1398,4.184119,31.744964,53.357335,19.216900,0.213437,0.040405
email_enron,18,legacy_beam,rounds,16434,7171,16434,653389,48468,48468,48468,48468,9294,8841,174,174,336555,224162,3035436,1174,9.055480,33.156679,57.381496,58.987312,0.110471,0.033199
email_enron,19,legacy_beam,rounds,16260,7877,16260,555453,34758,34758,34758,34758,3596,3278,146,146,327992,217780,2639088,950,8.161092,31.531795,54.874539,28.055022,0.049706,0.089605
email_enron,20,legacy_beam,rounds,16114,7154,16114,841669,45835,45835,45835,45835,6527,6213,157,157,336777,222495,3113758,1084,4.947424,45.100643,65.950360,34.980561,0.078485,0.038042
amazon,1,legacy_beam,rounds,334863,116077,334863,1974338,819894,819894,819894,819894,780455,27487,12079,12079,1705379,1702061,10090740,24158,96.148001,186.487228,628.971700,429.510764,1.303579,1.628234
amazon,2,legacy_beam,rounds,322784,113875,322784,1662938,743207,743207,743207,743207,613748,76714,35983,35983,1700712,1602978,9126639,74857,95.266025,132.059432,591.165183,454.074711,3.334502,5.329352
amazon,3,legacy_beam,rounds,286801,108617,286801,1086635,554257,554257,554257,554257,303497,53691,28576,28576,1687162,1340953,6726274,63429,95.488911,95.828274,455.661194,392.924987,2.548701,4.126044
amazon,4,legacy_beam,rounds,258225,102872,258225,837846,429290,429290,429290,429290,147519,35625,19231,19231,1675417,1179075,5269103,44814,92.567679,79.441819,386.587199,351.368540,1.903659,2.932581
amazon,5,legacy_beam,rounds,238994,98135,238994,689119,344335,344335,344335,344335,78730,25829,13600,13600,1663088,1085995,4300164,33105,81.345956,65.028669,326.313925,284.998109,1.239028,1.912351
amazon,6,legacy_beam,rounds,225394,94355,225394,628822,296453,296453,296453,296453,46833,19228,9870,9870,1654574,1027290,3788299,24941,72.377077,61.922829,308.279044,294.673665,1.156238,1.546686
amazon,7,legacy_beam,rounds,215524,91259,215524,594716,270181,270181,270181,270181,30732,14881,7818,7818,1650496,988352,3511053,20743,94.907316,61.626606,284.475214,256.281394,0.840248,1.353120
amazon,8,legacy_beam,rounds,207706,89046,207706,541456,242677,242677,242677,242677,19064,9924,5897,5897,1644950,957126,3232698,16361,68.713860,50.039534,283.641721,209.124275,0.565503,0.919006
amazon,9,legacy_beam,rounds,201809,87169,201809,527263,227664,227664,227664,227664,13937,8419,4447,4447,1641323,934985,3018449,13021,63.877896,73.276666,265.122094,505.094777,0.458731,0.706188
amazon,10,legacy_beam,rounds,197362,85611,197362,485540,212068,212068,212068,212068,9252,5499,3685,3685,1641069,918846,2864464,11260,77.728284,65.346870,270.940360,380.658317,0.416253,0.654417
amazon,11,legacy_beam,rounds,193677,84580,193677,484620,207191,207191,207191,207191,7885,5213,2842,2842,1637330,903540,2804737,9016,73.939994,51.533784,246.398272,218.364769,0.301204,0.455038
amazon,12,legacy_beam,rounds,190835,83399,190835,457792,198189,198189,198189,198189,5124,3252,2345,2345,1637600,892895,2712140,7879,76.823285,50.251647,222.634530,200.862467,0.233076,0.370949
amazon,13,legacy_beam,rounds,188490,83052,188490,441835,191209,191209,191209,191209,3930,2695,1960,1960,1634566,882778,2630389,6895,60.393021,50.163282,242.455371,209.847739,0.214856,0.341894
amazon,14,legacy_beam,rounds,186530,82425,186530,445587,188961,188961,188961,188961,4020,3023,1627,1627,1632911,874408,2595164,5922,57.324214,51.625776,257.705701,258.849099,0.209229,0.334031
amazon,15,legacy_beam,rounds,184903,82137,184903,447137,185768,185768,185768,185768,3353,2605,1375,1375,1630057,867037,2560835,5167,67.955616,51.066799,244.534059,214.140346,0.167772,0.256380
amazon,16,legacy_beam,rounds,183528,81320,183528,430386,182701,182701,182701,182701,2554,1982,1127,1127,1631653,861674,2525238,4402,62.763315,41.042184,217.443465,189.901608,0.134217,0.214011
amazon,17,legacy_beam,rounds,182401,81008,182401,419607,177611,177611,177611,177611,1611,1149,974,974,1631436,857752,2461817,3866,59.489857,41.734494,217.737188,225.592264,0.104088,0.180322
amazon,18,legacy_beam,rounds,181427,80905,181427,422990,178722,178722,178722,178722,1395,1057,786,786,1629635,852500,2504917,3222,60.134990,43.462891,242.263706,179.079688,0.088614,0.150704
amazon,19,legacy_beam,rounds,180641,80448,180641,411794,173301,173301,173301,173301,1143,874,710,710,1631014,850258,2405620,2982,59.812908,38.574074,229.467645,183.484394,0.084178,0.132794
amazon,20,legacy_beam,rounds,179931,80466,179931,410296,172713,172713,172713,172713,926,728,609,609,1628180,846470,2413147,2601,58.097507,65.456933,232.311471,275.930325,0.073958,0.136864
dblp,1,legacy_beam,rounds,317080,106786,317080,4925222,878558,878558,878558,878558,868025,14605,7003,7003,2020886,2020883,17629127,14006,80.211559,182.650401,627.536269,368.720706,0.572872,0.860763
dblp,2,legacy_beam,rounds,310077,104441,310077,4261337,837669,837669,837669,837669,777613,186201,53949,53949,2019014,1984540,17057824,109383,79.825308,140.248913,571.502832,373.881849,4.727885,6.990626
dblp,3,legacy_beam,rounds,256128,99226,256128,1595198,545386,545386,545386,545386,267400,86339,41869,41869,1989209,1480960,10528579,107849,69.162067,119.771518,451.193345,404.982257,3.567121,5.868400
dblp,4,legacy_beam,rounds,214259,93745,214259,988554,382987,382987,382987,382987,102250,30209,15779,15779,1913432,1214178,7780066,40724,65.578479,91.077447,349.963817,315.472494,1.553264,2.424954
dblp,5,legacy_beam,rounds,198480,89258,198480,751081,320676,320676,320676,320676,55148,18687,10752,10752,1896252,1129654,6651974,28835,60.915557,63.048882,280.653702,212.638109,0.812313,1.617456
dblp,6,legacy_beam,rounds,187728,86198,187728,692224,279165,279165,279165,279165,32146,11239,7191,7191,1885217,1077313,6123156,20888,54.310610,67.736120,271.055133,228.887581,0.608880,1.130378
dblp,7,legacy_beam,rounds,180537,83661,180537,663077,258530,258530,258530,258530,20818,7895,5263,5263,1876216,1042352,5799375,16066,59.230021,70.917144,272.152594,236.860851,0.539109,0.858354
dblp,8,legacy_beam,rounds,175274,81805,175274,641292,242919,242919,242919,242919,14716,5865,4032,4032,1869133,1017905,5611969,13008,60.781928,63.924892,251.140784,215.974651,0.398834,0.652709
dblp,9,legacy_beam,rounds,171242,80313,171242,590775,228942,228942,228942,228942,10163,4163,3004,3004,1868960,999649,5274969,10231,55.805650,61.929338,247.556421,210.783922,0.288753,0.483680
dblp,10,legacy_beam,rounds,168238,79139,168238,578895,219538,219538,219538,219538,7585,3190,2451,2451,1867773,985779,5142947,8770,56.391153,59.725558,230.787151,199.872373,0.218183,0.406575
dblp,11,legacy_beam,rounds,165787,78563,165787,556003,208953,208953,208953,208953,5692,2390,1890,1890,1862625,973097,4915363,6965,60.221562,58.200317,234.398357,201.439392,0.177857,0.319639
dblp,12,legacy_beam,rounds,163897,77632,163897,541268,202282,202282,202282,202282,4640,2150,1653,1653,1863783,964987,4730923,6377,57.927871,57.264521,233.915498,205.155531,0.171383,0.395330
dblp,13,legacy_beam,rounds,162244,77206,162244,526782,198454,198454,198454,198454,3670,1704,1336,1336,1860180,956763,4646976,5239,51.752326,60.659060,232.590179,240.303357,0.157097,0.241308
dblp,14,legacy_beam,rounds,160908,76992,160908,521001,193520,193520,193520,193520,2965,1426,1125,1125,1857603,949696,4567905,4503,52.726323,49.233134,221.657347,160.341853,0.096656,0.180612
dblp,15,legacy_beam,rounds,159783,76310,159783,521197,190726,190726,190726,190726,2387,1109,882,882,1857075,945140,4507479,3729,55.070297,74.908070,249.543279,479.080447,0.105593,0.198802
dblp,16,legacy_beam,rounds,158901,76541,158901,490411,182406,182406,182406,182406,2032,951,793,793,1852804,938424,4287003,3466,59.072066,65.233000,231.563961,253.084633,0.097082,0.177697
dblp,17,legacy_beam,rounds,158108,75929,158108,510936,185667,185667,185667,185667,1666,805,692,692,1854871,935756,4416121,3125,82.824495,71.370095,235.038880,275.624720,0.092756,0.164381
dblp,18,legacy_beam,rounds,157416,75455,157416,523936,185324,185324,185324,185324,1457,695,595,595,1855108,933293,4469854,2721,50.762849,54.984348,214.151726,188.204863,0.060965,0.120941
dblp,19,legacy_beam,rounds,156821,75547,156821,503840,179355,179355,179355,179355,1184,587,504,504,1853804,929507,4325444,2264,52.976310,57.804634,214.374212,373.313382,0.055686,0.111953
